"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"YBR","İŞ PORTFÖY YİRMİBİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,9351","-","-","-","-","-","-"
"KHB","KARE PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,3491","8,7958","-","-","-","-","-"
"KCL","KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","2,4154","10,5659","-","-","-","-","-"
"KIH","KARE PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","2,5411","8,6474","-","-","-","-","-"
"KKC","KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","4,5059","12,6014","-","-","-","-","-"
"KP3","KARE PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","4,5560","12,0345","-","-","-","-","-"
"KYS","KARE PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"KUA","KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU","Katılım Şemsiye Fonu","-0,7252","-","-","-","-","-","-"
"KDE","KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU","Katılım Şemsiye Fonu","4,2325","-","-","-","-","-","-"
"KUD","KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU","Katılım Şemsiye Fonu","2,8551","-","-","-","-","-","-"
"KGM","KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","8,4262","11,2015","33,4255","36,1871","-","-","-"
